iter	Passed	Remaining
540	3673	3116
541	3678	3108
542	3684	3101
543	3691	3094
544	3697	3087
545	3703	3079
546	3709	3071
547	3715	3064
548	3721	3056
549	3731	3052
550	3738	3046
551	3747	3041
552	3757	3037
553	3766	3031
554	3773	3025
555	3779	3018
556	3785	3010
557	3792	3003
558	3802	2999
559	3811	2995
560	3816	2986
561	3823	2980
562	3830	2972
563	3835	2964
564	3841	2957
565	3846	2949
566	3852	2941
567	3857	2933
568	3863	2926
569	3871	2920
570	3881	2916
571	3886	2907
572	3892	2900
573	3897	2892
574	3901	2883
575	3910	2878
576	3916	2871
577	3923	2864
578	3935	2861
579	3939	2852
580	3945	2845
581	3951	2837
582	3956	2830
583	3962	2822
584	3968	2815
585	3974	2808
586	3979	2800
587	3984	2792
588	3991	2785
589	3996	2777
590	4003	2770
591	4010	2764
592	4016	2756
593	4021	2748
594	4027	2741
595	4033	2734
596	4038	2726
597	4043	2718
598	4049	2710
599	4054	2703
600	4060	2695
601	4066	2688
602	4070	2680
603	4076	2672
604	4082	2665
605	4088	2657
606	4094	2651
607	4100	2643
608	4106	2636
609	4111	2628
610	4121	2624
611	4128	2617
612	4133	2609
613	4138	2601
614	4145	2594
615	4149	2587
616	4156	2580
617	4162	2573
618	4170	2567
619	4178	2560
620	4183	2553
621	4187	2545
622	4194	2538
623	4203	2532
624	4211	2527
625	4220	2521
626	4226	2514
627	4233	2507
628	4241	2501
629	4249	2495
630	4254	2488
631	4262	2481
632	4271	2476
633	4280	2470
634	4291	2466
635	4297	2459
636	4309	2455
637	4314	2447
638	4319	2440
639	4325	2433
640	4330	2425
641	4338	2419
642	4344	2412
643	4350	2404
644	4355	2397
645	4361	2390
646	4370	2384
647	4376	2377
648	4383	2370
649	4389	2363
650	4403	2360
651	4413	2355
652	4420	2348
653	4426	2341
654	4435	2336
655	4443	2330
656	4449	2323
657	4456	2316
658	4463	2309
659	4469	2302
660	4477	2296
661	4483	2289
662	4489	2281
663	4494	2274
664	4500	2266
665	4505	2259
666	4510	2251
667	4516	2244
668	4522	2237
669	4527	2229
670	4532	2222
671	4538	2215
672	4544	2208
673	4550	2200
674	4556	2194
675	4564	2187
676	4573	2181
677	4579	2175
678	4588	2169
679	4595	2162
680	4601	2155
681	4607	2148
682	4613	2141
683	4619	2133
684	4623	2126
685	4628	2118
686	4633	2110
687	4638	2103
688	4643	2095
689	4648	2088
690	4654	2081
691	4659	2073
692	4665	2066
693	4671	2059
694	4677	2052
695	4684	2045
696	4694	2040
697	4700	2033
698	4706	2026
699	4711	2019
700	4717	2012
701	4721	2004
702	4728	1997
703	4733	1990
704	4737	1982
705	4743	1975
706	4747	1967
707	4753	1960
708	4758	1952
709	4764	1945
710	4770	1939
711	4778	1932
712	4784	1925
713	4790	1918
714	4795	1911
715	4801	1904
716	4808	1897
717	4813	1890
718	4818	1883
719	4823	1875
720	4830	1869
721	4836	1862
722	4843	1855
723	4849	1848
724	4858	1842
725	4863	1835
726	4869	1828
727	4876	1822
728	4884	1815
729	4890	1808
730	4894	1801
731	4900	1794
732	4906	1787
733	4912	1780
734	4918	1773
735	4924	1766
736	4931	1759
737	4936	1752
738	4943	1745
739	4947	1738
740	4953	1731
741	4961	1725
742	4967	1718
743	4973	1711
744	4979	1704
745	4983	1696
746	4988	1689
747	4993	1682
748	4998	1675
749	5004	1668
750	5010	1661
751	5016	1654
752	5021	1647
753	5026	1640
754	5035	1633
755	5041	1627
756	5047	1620
757	5052	1613
758	5058	1606
759	5062	1598
760	5067	1591
761	5075	1585
762	5081	1578
763	5085	1570
764	5090	1563
765	5094	1556
766	5099	1549
767	5104	1542
768	5109	1534
769	5115	1528
770	5121	1521
771	5128	1514
772	5134	1507
773	5139	1500
774	5146	1494
775	5152	1487
776	5158	1480
777	5164	1473
778	5169	1466
779	5175	1459
780	5180	1452
781	5186	1445
782	5191	1438
783	5197	1431
784	5203	1425
785	5208	1418
786	5214	1411
787	5219	1404
788	5224	1397
789	5229	1390
790	5234	1383
791	5239	1376
792	5245	1369
793	5250	1362
794	5255	1355
795	5260	1348
796	5265	1341
797	5272	1334
798	5278	1327
799	5285	1321
800	5292	1314
801	5300	1308
802	5306	1301
803	5316	1296
804	5322	1289
805	5332	1283
806	5342	1277
807	5349	1271
808	5358	1265
809	5364	1258
810	5372	1252
811	5380	1245
812	5388	1239
813	5395	1232
814	5401	1226
815	5407	1219
816	5412	1212
817	5418	1205
818	5424	1198
819	5430	1191
820	5440	1186
821	5449	1180
822	5455	1173
823	5463	1166
824	5468	1159
825	5474	1153
826	5480	1146
827	5485	1139
828	5493	1133
829	5499	1126
830	5506	1119
831	5516	1113
832	5524	1107
833	5533	1101
834	5538	1094
835	5547	1088
836	5556	1082
837	5563	1075
838	5568	1068
839	5573	1061
840	5579	1054
841	5584	1047
842	5591	1041
843	5597	1034
844	5602	1027
845	5608	1020
846	5614	1014
847	5621	1007
848	5627	1000
849	5632	993
850	5639	987
851	5649	981
852	5659	975
853	5668	969
854	5677	962
855	5688	956
856	5697	950
857	5707	944
858	5719	938
859	5728	932
860	5735	925
861	5741	919
862	5747	912
863	5760	906
864	5771	900
865	5779	894
866	5786	887
867	5794	881
868	5799	874
869	5805	867
870	5814	861
871	5818	854
872	5831	848
873	5841	842
874	5852	836
875	5861	829
876	5870	823
877	5880	817
878	5887	810
879	5892	803
880	5899	796
881	5905	790
882	5910	783
883	5915	776
884	5920	769
885	5927	762
886	5932	755
887	5938	748
888	5943	742
889	5948	735
890	5954	728
891	5960	721
892	5965	714
893	5972	708
894	5977	701
895	5982	694
896	5987	687
897	5993	680
898	6001	674
899	6006	667
900	6015	660
901	6019	653
902	6024	647
903	6029	640
904	6034	633
905	6041	626
906	6046	619
907	6051	613
908	6058	606
909	6065	599
910	6076	593
911	6085	587
912	6091	580
913	6102	574
914	6109	567
915	6117	560
916	6125	554
917	6133	547
918	6139	541
919	6146	534
920	6153	527
921	6160	521
922	6167	514
923	6177	508
924	6185	501
925	6192	494
926	6197	488
927	6206	481
928	6215	475
929	6220	468
930	6228	461
931	6235	454
932	6243	448
933	6250	441
934	6258	435
935	6264	428
936	6270	421
937	6277	414
938	6283	408
939	6290	401
940	6298	394
941	6304	388
942	6314	381
943	6328	375
944	6338	368
945	6347	362
946	6359	355
947	6366	349
948	6377	342
949	6389	336
950	6396	329
951	6404	322
952	6410	316
953	6414	309
954	6419	302
955	6426	295
956	6432	289
957	6437	282
958	6442	275
959	6451	268
960	6456	262
961	6463	255
962	6470	248
963	6479	241
964	6488	235
965	6497	228
966	6503	221
967	6509	215
968	6514	208
969	6520	201
970	6526	194
971	6531	188
972	6537	181
973	6543	174
974	6549	167
975	6554	161
976	6560	154
977	6566	147
978	6572	140
979	6578	134
980	6583	127
981	6588	120
982	6594	114
983	6599	107
984	6604	100
985	6611	93
986	6617	87
987	6622	80
988	6627	73
989	6634	67
990	6640	60
991	6646	53
992	6652	46
993	6657	40
994	6662	33
995	6669	26
996	6675	20
997	6682	13
998	6688	6
999	6696	0
