iter	Passed	Remaining
644	15566	8567
645	15584	8539
646	15607	8515
647	15624	8487
648	15647	8462
649	15673	8439
650	15703	8418
651	15725	8393
652	15750	8369
653	15768	8342
654	15793	8318
655	15819	8295
656	15841	8270
657	15867	8247
658	15891	8222
659	15920	8201
660	15948	8179
661	15972	8155
662	15996	8131
663	16024	8108
664	16043	8082
665	16073	8060
666	16101	8038
667	16140	8021
668	16174	8002
669	16203	7980
670	16231	7958
671	16254	7933
672	16275	7908
673	16295	7881
674	16316	7856
675	16334	7828
676	16357	7804
677	16383	7780
678	16408	7757
679	16428	7731
680	16452	7706
681	16470	7679
682	16494	7655
683	16514	7629
684	16533	7603
685	16556	7578
686	16572	7550
687	16593	7524
688	16613	7499
689	16631	7471
690	16652	7446
691	16677	7422
692	16693	7395
693	16711	7368
694	16734	7343
695	16759	7320
696	16789	7298
697	16815	7275
698	16842	7252
699	16867	7228
700	16895	7206
701	16936	7189
702	16970	7169
703	16994	7145
704	17021	7122
705	17038	7095
706	17067	7073
707	17089	7048
708	17118	7025
709	17144	7002
710	17163	6976
711	17180	6949
712	17199	6923
713	17219	6897
714	17241	6872
715	17272	6851
716	17293	6825
717	17309	6798
718	17329	6772
719	17352	6748
720	17373	6722
721	17395	6697
722	17415	6672
723	17434	6646
724	17452	6619
725	17471	6593
726	17489	6567
727	17517	6545
728	17541	6520
729	17563	6496
730	17587	6471
731	17607	6446
732	17630	6422
733	17649	6396
734	17670	6370
735	17686	6344
736	17704	6317
737	17723	6292
738	17742	6266
739	17761	6240
740	17784	6216
741	17802	6190
742	17820	6163
743	17840	6138
744	17868	6116
745	17888	6090
746	17916	6067
747	17942	6044
748	17965	6020
749	17987	5995
750	18010	5971
751	18031	5946
752	18052	5921
753	18077	5897
754	18097	5872
755	18118	5847
756	18145	5824
757	18168	5800
758	18188	5775
759	18207	5749
760	18230	5725
761	18247	5699
762	18263	5672
763	18284	5648
764	18301	5622
765	18319	5596
766	18347	5573
767	18368	5548
768	18406	5529
769	18428	5504
770	18456	5482
771	18484	5459
772	18511	5436
773	18530	5410
774	18548	5385
775	18568	5360
776	18588	5334
777	18607	5309
778	18624	5283
779	18648	5259
780	18664	5233
781	18682	5208
782	18705	5184
783	18721	5158
784	18738	5132
785	18757	5106
786	18778	5082
787	18797	5057
788	18815	5031
789	18835	5007
790	18859	4983
791	18894	4962
792	18916	4937
793	18939	4913
794	18965	4890
795	18985	4865
796	19013	4842
797	19037	4818
798	19060	4794
799	19086	4771
800	19109	4747
801	19127	4722
802	19153	4698
803	19171	4673
804	19198	4650
805	19220	4626
806	19239	4601
807	19270	4579
808	19296	4555
809	19317	4531
810	19341	4507
811	19366	4483
812	19390	4460
813	19420	4437
814	19437	4412
815	19458	4387
816	19485	4364
817	19512	4341
818	19530	4316
819	19545	4290
820	19568	4266
821	19588	4241
822	19610	4217
823	19631	4193
824	19649	4168
825	19674	4144
826	19697	4120
827	19717	4095
828	19735	4070
829	19758	4046
830	19779	4022
831	19801	3998
832	19823	3974
833	19845	3950
834	19868	3926
835	19906	3905
836	19928	3880
837	19949	3856
838	19983	3834
839	20003	3810
840	20021	3785
841	20040	3760
842	20060	3735
843	20087	3712
844	20109	3688
845	20135	3665
846	20158	3641
847	20186	3618
848	20207	3594
849	20229	3569
850	20250	3545
851	20269	3520
852	20291	3496
853	20310	3472
854	20329	3447
855	20346	3422
856	20367	3398
857	20391	3374
858	20408	3349
859	20430	3325
860	20455	3302
861	20484	3279
862	20507	3255
863	20532	3231
864	20551	3207
865	20575	3183
866	20604	3160
867	20633	3137
868	20655	3113
869	20678	3089
870	20699	3065
871	20719	3041
872	20742	3017
873	20770	2994
874	20791	2970
875	20810	2945
876	20832	2921
877	20855	2897
878	20878	2874
879	20900	2850
880	20926	2826
881	20950	2802
882	20991	2781
883	21024	2758
884	21045	2734
885	21065	2710
886	21085	2686
887	21107	2662
888	21129	2638
889	21163	2615
890	21192	2592
891	21216	2568
892	21235	2544
893	21252	2519
894	21271	2495
895	21298	2472
896	21323	2448
897	21358	2425
898	21375	2401
899	21396	2377
900	21418	2353
901	21438	2329
902	21462	2305
903	21482	2281
904	21507	2257
905	21524	2233
906	21547	2209
907	21566	2185
908	21582	2160
909	21602	2136
910	21624	2112
911	21649	2089
912	21669	2064
913	21699	2041
914	21718	2017
915	21742	1993
916	21763	1969
917	21792	1946
918	21823	1923
919	21846	1899
920	21882	1877
921	21916	1854
922	21940	1830
923	21959	1806
924	21978	1782
925	22003	1758
926	22021	1734
927	22041	1710
928	22058	1685
929	22081	1662
930	22104	1638
931	22121	1614
932	22140	1589
933	22159	1565
934	22180	1541
935	22204	1518
936	22224	1494
937	22247	1470
938	22265	1446
939	22287	1422
940	22308	1398
941	22336	1375
942	22352	1351
943	22368	1326
944	22388	1303
945	22404	1278
946	22426	1255
947	22442	1231
948	22462	1207
949	22481	1183
950	22507	1159
951	22533	1136
952	22554	1112
953	22574	1088
954	22602	1065
955	22623	1041
956	22652	1017
957	22671	993
958	22687	969
959	22706	946
960	22728	922
961	22747	898
962	22768	874
963	22790	851
964	22816	827
965	22845	804
966	22869	780
967	22896	756
968	22923	733
969	22943	709
970	22965	685
971	22986	662
972	23015	638
973	23041	615
974	23061	591
975	23085	567
976	23112	544
977	23142	520
978	23177	497
979	23200	473
980	23219	449
981	23246	426
982	23265	402
983	23283	378
984	23304	354
985	23325	331
986	23349	307
987	23367	283
988	23384	260
989	23403	236
990	23432	212
991	23454	189
992	23475	165
993	23501	141
994	23518	118
995	23540	94
996	23559	70
997	23578	47
998	23606	23
999	23626	0
